order_id,product_name,quantity,unit_price,order_date,purchase_address,city,total_price
176618,Lightning Charging Cable,2,14.95,2019-04-18 21:44:00,273 South St,San Francisco,29.899999618530273
176619,Flatscreen TV,1,300.0,2019-04-16 18:37:00,116 North St,Los Angeles,300.0
176620,USB-C Charging Cable,1,11.95,2019-04-17 10:39:00,994 Pine St,Los Angeles,11.949999809265137
176621,Lightning Charging Cable,1,14.95,2019-04-11 16:09:00,863 8th St,Boston,14.949999809265137
176622,AA Batteries (4-pack),1,3.84,2019-04-11 20:16:00,983 11th St,San Francisco,3.8399999141693115
176623,27in FHD Monitor,1,149.99,2019-04-20 23:51:00,807 12th St,Atlanta,149.99000549316406
176624,AA Batteries (4-pack),1,3.84,2019-04-28 10:44:00,664 Church St,Seattle,3.8399999141693115
176625,AAA Batteries (4-pack),2,2.99,2019-04-24 19:00:00,858 5th St,San Francisco,5.980000019073486
176626,Bose SoundSport Headphones,1,99.99,2019-04-01 21:40:00,491 Chestnut St,Boston,99.98999786376953
176627,Wired Headphones,1,11.99,2019-04-21 14:57:00,994 13th St,Atlanta,11.989999771118164
176628,Lightning Charging Cable,2,14.95,2019-04-15 04:03:00,628 Wilson St,Dallas,29.899999618530273
176629,USB-C Charging Cable,1,11.95,2019-04-24 11:56:00,101 Lincoln St,San Francisco,11.949999809265137
176630,Google Phone,1,600.0,2019-04-10 05:01:00,770 Maple St,San Francisco,600.0
176631,USB-C Charging Cable,1,11.95,2019-04-13 18:48:00,292 Dogwood St,San Francisco,11.949999809265137
176632,AAA Batteries (4-pack),1,2.99,2019-04-14 14:28:00,814 Madison St,San Francisco,2.990000009536743
176633,ThinkPad Laptop,1,999.99,2019-04-23 14:03:00,863 Hickory St,Los Angeles,999.989990234375
176634,Lightning Charging Cable,1,14.95,2019-04-10 08:00:00,311 Madison St,Atlanta,14.949999809265137
176635,Vareebadd Phone,1,400.0,2019-04-26 09:55:00,85 North St,San Francisco,400.0
176636,AA Batteries (4-pack),1,3.84,2019-04-30 20:37:00,140 10th St,Boston,3.8399999141693115
176637,AAA Batteries (4-pack),1,2.99,2019-04-17 10:03:00,261 Sunset St,New York City,2.990000009536743
176638,USB-C Charging Cable,1,11.95,2019-04-20 08:33:00,869 Cherry St,Boston,11.949999809265137
176639,Macbook Pro Laptop,1,1700.0,2019-04-28 16:14:00,853 Cedar St,San Francisco,1700.0
176640,Wired Headphones,2,11.99,2019-04-27 22:54:00,164 Lake St,San Francisco,23.979999542236328
176641,Lightning Charging Cable,1,14.95,2019-04-25 21:36:00,655 Sunset St,Boston,14.949999809265137
176642,AA Batteries (4-pack),1,3.84,2019-04-17 18:38:00,72 Elm St,Portland,3.8399999141693115
176643,Macbook Pro Laptop,1,1700.0,2019-04-27 21:32:00,373 Adams St,Boston,1700.0
176644,USB-C Charging Cable,1,11.95,2019-04-23 02:09:00,962 7th St,Los Angeles,11.949999809265137
176645,AAA Batteries (4-pack),3,2.99,2019-04-26 18:38:00,514 Lake St,Dallas,8.97000002861023
176646,Macbook Pro Laptop,1,1700.0,2019-04-22 07:14:00,657 Adams St,Portland,1700.0
176647,Google Phone,1,600.0,2019-04-21 19:40:00,273 South St,Los Angeles,600.0
176648,27in FHD Monitor,1,149.99,2019-04-24 01:17:00,732 2nd St,Portland,149.99000549316406
176649,USB-C Charging Cable,1,11.95,2019-04-09 08:49:00,702 11th St,San Francisco,11.949999809265137
176650,Lightning Charging Cable,1,14.95,2019-04-12 16:47:00,153 River St,Boston,14.949999809265137
176651,iPhone,1,700.0,2019-04-07 13:14:00,997 South St,Boston,700.0
176652,LG Washing Machine,1,600.0,2019-04-09 20:04:00,502 14th St,New York City,600.0
176653,AA Batteries (4-pack),1,3.84,2019-04-26 19:20:00,285 Chestnut St,San Francisco,3.8399999141693115
176654,USB-C Charging Cable,1,11.95,2019-04-15 19:35:00,880 Lakeview St,Seattle,11.949999809265137
176655,Apple Airpods Headphones,1,150.0,2019-04-11 19:36:00,848 Center St,San Francisco,150.0
176656,Google Phone,1,600.0,2019-04-12 16:42:00,12 Lakeview St,New York City,600.0
176657,ThinkPad Laptop,1,999.99,2019-04-23 10:16:00,774 Forest St,Los Angeles,999.989990234375
176658,AAA Batteries (4-pack),2,2.99,2019-04-22 08:51:00,573 Pine St,San Francisco,5.980000019073486
176659,20in Monitor,1,109.99,2019-04-29 14:40:00,804 Church St,Dallas,109.98999786376953
176660,AA Batteries (4-pack),1,3.84,2019-04-16 17:10:00,267 West St,Boston,3.8399999141693115
176661,Wired Headphones,1,11.99,2019-04-25 20:40:00,522 6th St,Atlanta,11.989999771118164
176662,34in Ultrawide Monitor,1,379.99,2019-04-05 12:46:00,678 Hickory St,Portland,379.989990234375
176663,Bose SoundSport Headphones,1,99.99,2019-04-05 11:48:00,450 Johnson St,Seattle,99.98999786376953
176664,AAA Batteries (4-pack),1,2.99,2019-04-13 18:59:00,544 Madison St,Los Angeles,2.990000009536743
176665,ThinkPad Laptop,1,999.99,2019-04-07 14:15:00,927 13th St,Dallas,999.989990234375
176666,Wired Headphones,1,11.99,2019-04-08 16:50:00,382 Forest St,Seattle,11.989999771118164
176667,27in 4K Gaming Monitor,1,389.99,2019-04-11 00:39:00,92 11th St,Los Angeles,389.989990234375
176668,AA Batteries (4-pack),1,3.84,2019-04-15 20:46:00,56 2nd St,Dallas,3.8399999141693115
176669,27in FHD Monitor,1,149.99,2019-04-08 12:57:00,506 Jackson St,Dallas,149.99000549316406
176670,Apple Airpods Headphones,1,150.0,2019-04-25 21:23:00,892 Willow St,San Francisco,150.0
176671,AAA Batteries (4-pack),2,2.99,2019-04-23 16:31:00,738 Jefferson St,New York City,5.980000019073486
176672,Lightning Charging Cable,1,14.95,2019-04-12 11:07:00,778 Maple St,New York City,14.949999809265137
176672,USB-C Charging Cable,1,11.95,2019-04-12 11:07:00,778 Maple St,New York City,11.949999809265137
176673,20in Monitor,1,109.99,2019-04-10 08:17:00,952 1st St,Boston,109.98999786376953
176674,AAA Batteries (4-pack),3,2.99,2019-04-20 20:53:00,907 West St,Austin,8.97000002861023
176675,AAA Batteries (4-pack),1,2.99,2019-04-02 09:02:00,933 Meadow St,Seattle,2.990000009536743
176676,LG Dryer,1,600.0,2019-04-09 00:35:00,788 Lincoln St,Los Angeles,600.0
176677,34in Ultrawide Monitor,1,379.99,2019-04-01 11:50:00,661 Washington St,Austin,379.989990234375
176678,AA Batteries (4-pack),2,3.84,2019-04-19 22:12:00,345 Sunset St,San Francisco,7.679999828338623
176679,Apple Airpods Headphones,1,150.0,2019-04-16 11:12:00,245 West St,Boston,150.0
176680,USB-C Charging Cable,1,11.95,2019-04-13 11:28:00,368 Main St,Los Angeles,11.949999809265137
176681,Apple Airpods Headphones,1,150.0,2019-04-20 10:39:00,331 Cherry St,Seattle,150.0
176681,ThinkPad Laptop,1,999.99,2019-04-20 10:39:00,331 Cherry St,Seattle,999.989990234375
176682,Lightning Charging Cable,1,14.95,2019-04-27 06:19:00,593 Adams St,Boston,14.949999809265137
176683,AA Batteries (4-pack),1,3.84,2019-04-03 13:54:00,253 Willow St,Los Angeles,3.8399999141693115
176684,USB-C Charging Cable,1,11.95,2019-04-17 00:51:00,293 Washington St,Los Angeles,11.949999809265137
176685,34in Ultrawide Monitor,1,379.99,2019-04-23 22:53:00,114 10th St,New York City,379.989990234375
176686,Wired Headphones,1,11.99,2019-04-17 15:17:00,892 10th St,Austin,11.989999771118164
176687,Macbook Pro Laptop,1,1700.0,2019-04-30 10:26:00,121 Wilson St,Los Angeles,1700.0
176688,Flatscreen TV,1,300.0,2019-04-20 18:25:00,229 Church St,San Francisco,300.0
176689,Bose SoundSport Headphones,1,99.99,2019-04-24 17:15:00,659 Lincoln St,New York City,99.98999786376953
176689,AAA Batteries (4-pack),2,2.99,2019-04-24 17:15:00,659 Lincoln St,New York City,5.980000019073486
176690,20in Monitor,1,109.99,2019-04-04 18:33:00,873 Sunset St,San Francisco,109.98999786376953
176691,AAA Batteries (4-pack),1,2.99,2019-04-12 11:57:00,991 Lincoln St,Los Angeles,2.990000009536743
176692,Wired Headphones,1,11.99,2019-04-08 18:21:00,290 Forest St,San Francisco,11.989999771118164
176693,AA Batteries (4-pack),1,3.84,2019-04-22 09:00:00,252 Walnut St,San Francisco,3.8399999141693115
176694,USB-C Charging Cable,1,11.95,2019-04-05 20:46:00,985 Washington St,Atlanta,11.949999809265137
176695,AA Batteries (4-pack),2,3.84,2019-04-12 20:50:00,709 Lake St,Seattle,7.679999828338623
176696,iPhone,1,700.0,2019-04-07 12:41:00,343 Johnson St,New York City,700.0
176697,Wired Headphones,1,11.99,2019-04-20 22:38:00,675 Center St,New York City,11.989999771118164
176698,Bose SoundSport Headphones,1,99.99,2019-04-02 16:15:00,232 Lakeview St,San Francisco,99.98999786376953
176699,Bose SoundSport Headphones,1,99.99,2019-04-28 18:04:00,49 Jefferson St,Boston,99.98999786376953
176700,34in Ultrawide Monitor,1,379.99,2019-04-07 23:10:00,967 Walnut St,Dallas,379.989990234375
176701,USB-C Charging Cable,1,11.95,2019-04-11 13:05:00,128 Church St,Austin,11.949999809265137
176702,AA Batteries (4-pack),1,3.84,2019-04-23 19:44:00,896 Sunset St,Seattle,3.8399999141693115
176703,20in Monitor,1,109.99,2019-04-17 10:00:00,748 Washington St,New York City,109.98999786376953
176704,AA Batteries (4-pack),2,3.84,2019-04-17 10:00:00,909 Center St,Seattle,7.679999828338623
176705,Lightning Charging Cable,2,14.95,2019-04-06 09:38:00,503 8th St,Austin,29.899999618530273
176706,Lightning Charging Cable,1,14.95,2019-04-13 13:32:00,309 South St,New York City,14.949999809265137
176707,Apple Airpods Headphones,1,150.0,2019-04-13 10:34:00,408 Center St,Portland,150.0
176708,Wired Headphones,1,11.99,2019-04-28 23:03:00,542 Ridge St,New York City,11.989999771118164
176709,AA Batteries (4-pack),1,3.84,2019-04-24 14:17:00,971 Church St,Dallas,3.8399999141693115
176710,20in Monitor,2,109.99,2019-04-07 10:00:00,848 West St,Dallas,219.97999572753906
176711,Flatscreen TV,1,300.0,2019-04-30 10:58:00,796 River St,Dallas,300.0
176712,Google Phone,1,600.0,2019-04-20 05:21:00,910 Washington St,San Francisco,600.0
176713,Wired Headphones,1,11.99,2019-04-21 10:48:00,498 Walnut St,San Francisco,11.989999771118164
176714,USB-C Charging Cable,1,11.95,2019-04-26 23:34:00,303 Spruce St,Los Angeles,11.949999809265137
176715,Apple Airpods Headphones,1,150.0,2019-04-27 16:43:00,258 Jefferson St,San Francisco,150.0
176716,Wired Headphones,1,11.99,2019-04-24 14:43:00,794 7th St,Los Angeles,11.989999771118164
176717,Apple Airpods Headphones,1,150.0,2019-04-19 10:34:00,490 Lakeview St,Atlanta,150.0
176718,Lightning Charging Cable,1,14.95,2019-04-22 19:14:00,672 Sunset St,Los Angeles,14.949999809265137
176719,Flatscreen TV,1,300.0,2019-04-27 13:07:00,602 Hickory St,Boston,300.0
176720,Lightning Charging Cable,1,14.95,2019-04-21 10:35:00,556 South St,Portland,14.949999809265137
176721,AAA Batteries (4-pack),1,2.99,2019-04-26 21:08:00,469 7th St,San Francisco,2.990000009536743
176722,27in 4K Gaming Monitor,1,389.99,2019-04-01 10:57:00,209 14th St,New York City,389.989990234375
176723,27in 4K Gaming Monitor,1,389.99,2019-04-19 21:31:00,613 12th St,Portland,389.989990234375
176724,Lightning Charging Cable,1,14.95,2019-04-26 20:59:00,34 12th St,San Francisco,14.949999809265137
176725,AA Batteries (4-pack),2,3.84,2019-04-15 14:33:00,630 14th St,San Francisco,7.679999828338623
176726,USB-C Charging Cable,1,11.95,2019-04-13 18:14:00,979 8th St,Los Angeles,11.949999809265137
176727,Lightning Charging Cable,1,14.95,2019-04-14 14:26:00,218 Hickory St,Los Angeles,14.949999809265137
176728,Lightning Charging Cable,1,14.95,2019-04-21 07:38:00,516 Park St,Atlanta,14.949999809265137
176729,USB-C Charging Cable,1,11.95,2019-04-24 09:57:00,637 9th St,Seattle,11.949999809265137
176730,Bose SoundSport Headphones,1,99.99,2019-04-17 08:27:00,403 Ridge St,New York City,99.98999786376953
176731,AAA Batteries (4-pack),2,2.99,2019-04-21 16:17:00,36 Lincoln St,San Francisco,5.980000019073486
176732,iPhone,1,700.0,2019-04-23 09:33:00,504 Wilson St,Dallas,700.0
176733,20in Monitor,1,109.99,2019-04-11 13:31:00,575 Hickory St,San Francisco,109.98999786376953
176734,Apple Airpods Headphones,1,150.0,2019-04-03 22:13:00,611 Jackson St,New York City,150.0
176735,27in FHD Monitor,1,149.99,2019-04-16 23:52:00,802 Ridge St,Austin,149.99000549316406
176736,AA Batteries (4-pack),1,3.84,2019-04-17 11:48:00,421 2nd St,Los Angeles,3.8399999141693115
176737,Apple Airpods Headphones,1,150.0,2019-04-07 01:28:00,109 Center St,Los Angeles,150.0
176738,AA Batteries (4-pack),1,3.84,2019-04-03 13:17:00,661 Center St,San Francisco,3.8399999141693115
176739,34in Ultrawide Monitor,1,379.99,2019-04-05 17:38:00,730 6th St,Austin,379.989990234375
176739,Google Phone,1,600.0,2019-04-05 17:38:00,730 6th St,Austin,600.0
176740,Bose SoundSport Headphones,1,99.99,2019-04-24 15:10:00,699 Washington St,Dallas,99.98999786376953
176741,USB-C Charging Cable,1,11.95,2019-04-29 18:49:00,990 Ridge St,San Francisco,11.949999809265137
176742,Wired Headphones,1,11.99,2019-04-17 09:54:00,115 Forest St,Los Angeles,11.989999771118164
176743,27in 4K Gaming Monitor,1,389.99,2019-04-01 09:17:00,570 11th St,Atlanta,389.989990234375
176744,Lightning Charging Cable,1,14.95,2019-04-14 19:59:00,937 Maple St,Los Angeles,14.949999809265137
176745,Wired Headphones,1,11.99,2019-04-24 09:23:00,461 Adams St,Los Angeles,11.989999771118164
176746,27in 4K Gaming Monitor,1,389.99,2019-04-08 19:04:00,638 Park St,Seattle,389.989990234375
176747,Macbook Pro Laptop,1,1700.0,2019-04-27 15:04:00,645 7th St,San Francisco,1700.0
176748,Flatscreen TV,1,300.0,2019-04-24 15:28:00,339 13th St,Boston,300.0
176749,ThinkPad Laptop,1,999.99,2019-04-26 07:55:00,322 Adams St,Seattle,999.989990234375
176750,AA Batteries (4-pack),1,3.84,2019-04-13 23:52:00,255 Cedar St,Austin,3.8399999141693115
176751,AAA Batteries (4-pack),1,2.99,2019-04-18 13:01:00,258 4th St,San Francisco,2.990000009536743
176752,AA Batteries (4-pack),1,3.84,2019-04-13 23:59:00,665 Wilson St,San Francisco,3.8399999141693115
176753,USB-C Charging Cable,1,11.95,2019-04-01 23:07:00,496 Adams St,Atlanta,11.949999809265137
176754,34in Ultrawide Monitor,1,379.99,2019-04-02 17:07:00,288 Forest St,Los Angeles,379.989990234375
176755,27in 4K Gaming Monitor,1,389.99,2019-04-09 16:21:00,825 Madison St,Seattle,389.989990234375
176756,27in FHD Monitor,1,149.99,2019-04-05 17:06:00,348 Lake St,New York City,149.99000549316406
176757,AA Batteries (4-pack),1,3.84,2019-04-11 20:28:00,79 Hickory St,Portland,3.8399999141693115
176758,34in Ultrawide Monitor,1,379.99,2019-04-18 21:26:00,166 Highland St,San Francisco,379.989990234375
176759,Lightning Charging Cable,1,14.95,2019-04-06 12:46:00,864 Main St,Los Angeles,14.949999809265137
176760,Wired Headphones,1,11.99,2019-04-02 20:32:00,813 Highland St,San Francisco,11.989999771118164
176761,Apple Airpods Headphones,1,150.0,2019-04-26 20:00:00,830 2nd St,San Francisco,150.0
176762,AA Batteries (4-pack),1,3.84,2019-04-18 14:06:00,977 1st St,Seattle,3.8399999141693115
176763,USB-C Charging Cable,1,11.95,2019-04-25 13:36:00,638 Johnson St,San Francisco,11.949999809265137
176764,Wired Headphones,1,11.99,2019-04-16 19:52:00,652 Center St,Atlanta,11.989999771118164
176765,USB-C Charging Cable,1,11.95,2019-04-14 20:44:00,729 Ridge St,San Francisco,11.949999809265137
176766,AA Batteries (4-pack),2,3.84,2019-04-21 19:52:00,84 Johnson St,Boston,7.679999828338623
176767,27in 4K Gaming Monitor,1,389.99,2019-04-09 14:18:00,205 4th St,Atlanta,389.989990234375
176768,Wired Headphones,1,11.99,2019-04-04 00:03:00,643 Spruce St,Los Angeles,11.989999771118164
176769,AA Batteries (4-pack),1,3.84,2019-04-29 14:14:00,206 10th St,San Francisco,3.8399999141693115
176770,Wired Headphones,1,11.99,2019-04-08 17:38:00,345 Church St,San Francisco,11.989999771118164
176771,Lightning Charging Cable,1,14.95,2019-04-24 17:40:00,403 11th St,New York City,14.949999809265137
176772,AA Batteries (4-pack),1,3.84,2019-04-10 21:48:00,426 14th St,New York City,3.8399999141693115
176773,AAA Batteries (4-pack),2,2.99,2019-04-25 20:07:00,30 9th St,Portland,5.980000019073486
176774,Lightning Charging Cable,1,14.95,2019-04-25 15:06:00,372 Church St,Los Angeles,14.949999809265137
176774,USB-C Charging Cable,1,11.95,2019-04-25 15:06:00,372 Church St,Los Angeles,11.949999809265137
176775,USB-C Charging Cable,2,11.95,2019-04-01 20:56:00,975 Forest St,San Francisco,23.899999618530273
176776,Bose SoundSport Headphones,1,99.99,2019-04-24 23:28:00,613 Washington St,Seattle,99.98999786376953
176777,Apple Airpods Headphones,1,150.0,2019-04-14 16:53:00,163 Jackson St,Portland,150.0
176778,34in Ultrawide Monitor,1,379.99,2019-04-12 17:46:00,201 Madison St,San Francisco,379.989990234375
176779,27in FHD Monitor,1,149.99,2019-04-04 16:46:00,351 Park St,Atlanta,149.99000549316406
176780,Lightning Charging Cable,1,14.95,2019-04-18 23:51:00,52 Walnut St,New York City,14.949999809265137
176781,iPhone,1,700.0,2019-04-03 07:37:00,976 Hickory St,Dallas,700.0
176781,Lightning Charging Cable,1,14.95,2019-04-03 07:37:00,976 Hickory St,Dallas,14.949999809265137
176782,Apple Airpods Headphones,1,150.0,2019-04-22 13:42:00,993 13th St,San Francisco,150.0
176783,Apple Airpods Headphones,1,150.0,2019-04-05 11:40:00,926 North St,San Francisco,150.0
176784,AAA Batteries (4-pack),1,2.99,2019-04-08 10:14:00,725 Madison St,Los Angeles,2.990000009536743
176785,Bose SoundSport Headphones,1,99.99,2019-04-03 15:39:00,533 Ridge St,Los Angeles,99.98999786376953
176786,20in Monitor,1,109.99,2019-04-06 16:40:00,701 North St,San Francisco,109.98999786376953
176787,Google Phone,1,600.0,2019-04-14 10:10:00,180 Pine St,Los Angeles,600.0
176788,Bose SoundSport Headphones,1,99.99,2019-04-15 04:39:00,200 North St,New York City,99.98999786376953
176789,Lightning Charging Cable,1,14.95,2019-04-21 20:15:00,990 Meadow St,San Francisco,14.949999809265137
176790,AAA Batteries (4-pack),1,2.99,2019-04-28 12:07:00,689 9th St,Austin,2.990000009536743
176791,Google Phone,1,600.0,2019-04-21 11:43:00,908 Jackson St,Los Angeles,600.0
176792,27in 4K Gaming Monitor,1,389.99,2019-04-30 19:29:00,772 11th St,Atlanta,389.989990234375
176793,Wired Headphones,1,11.99,2019-04-17 17:09:00,147 South St,San Francisco,11.989999771118164
176794,Lightning Charging Cable,1,14.95,2019-04-10 21:40:00,425 Adams St,Dallas,14.949999809265137
176795,Wired Headphones,1,11.99,2019-04-13 11:46:00,360 Center St,San Francisco,11.989999771118164
176796,Bose SoundSport Headphones,1,99.99,2019-04-07 08:44:00,5 2nd St,Los Angeles,99.98999786376953
176797,Google Phone,1,600.0,2019-04-21 08:54:00,923 Elm St,Los Angeles,600.0
176797,Bose SoundSport Headphones,1,99.99,2019-04-21 08:54:00,923 Elm St,Los Angeles,99.98999786376953
176797,Wired Headphones,1,11.99,2019-04-21 08:54:00,923 Elm St,Los Angeles,11.989999771118164
176798,iPhone,1,700.0,2019-04-06 10:31:00,445 Jefferson St,Atlanta,700.0
176799,Wired Headphones,1,11.99,2019-04-03 14:24:00,452 Spruce St,Portland,11.989999771118164
176800,Lightning Charging Cable,1,14.95,2019-04-09 11:35:00,766 West St,Atlanta,14.949999809265137
176801,Vareebadd Phone,1,400.0,2019-04-28 18:52:00,125 North St,San Francisco,400.0
176802,AA Batteries (4-pack),1,3.84,2019-04-29 17:33:00,627 12th St,Boston,3.8399999141693115
176803,AA Batteries (4-pack),1,3.84,2019-04-01 23:00:00,649 7th St,Austin,3.8399999141693115
176804,Bose SoundSport Headphones,1,99.99,2019-04-21 21:56:00,690 Walnut St,Seattle,99.98999786376953
176805,Google Phone,1,600.0,2019-04-01 15:50:00,91 Lincoln St,Portland,600.0
176805,USB-C Charging Cable,1,11.95,2019-04-01 15:50:00,91 Lincoln St,Portland,11.949999809265137
176806,Macbook Pro Laptop,1,1700.0,2019-04-22 13:26:00,197 Cherry St,Austin,1700.0
176807,USB-C Charging Cable,1,11.95,2019-04-21 17:13:00,758 Hill St,Seattle,11.949999809265137
176808,Google Phone,1,600.0,2019-04-28 18:03:00,933 Meadow St,San Francisco,600.0
176808,Wired Headphones,1,11.99,2019-04-28 18:03:00,933 Meadow St,San Francisco,11.989999771118164
176809,Bose SoundSport Headphones,2,99.99,2019-04-19 01:14:00,278 13th St,San Francisco,199.97999572753906
176810,AAA Batteries (4-pack),1,2.99,2019-04-30 14:57:00,86 Meadow St,Atlanta,2.990000009536743
